ID;title;description;content;item_from;item_type;item_source;permalink;tags;"ClassificaÁ„o da Obra";;"Tipo de Materia";"Ano de PublicaÁ„o";Autor;Ilustrador;Tradutor;EdiÁ„o;Editora;"SÈrie (ColeÁ„o)";"Local de PublicaÁ„o";ISBN/ISSN;"N˙mero de P·ginas";Resenha;Volume;PremiaÁ„o;Files
141;"Miss„o : assustar a irm„";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=141;;;;;;;;;;"Melhorament os";;;"85-06-03783-
2";;;;;
1162;"Fog„ozinho: culin·ria infantil em histÛrias";"Autor: Christo, Maria Stella Libanio Betto, Frei AnaRaquel Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1162;;;;;;;;;"4. ed.";"Nova Fronteira";;;;;;;;;
1163;I;"Autor: Casasanta, Therezinha Vilela, AndrÈa Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1163;;;;;;;;;;Express√£o;;;"85-86866-16-
4";|;;;;;
1164;"A senhora Meier e o melro";"Autor: Erlbruch, Wolf Tellaroli, Wolf Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1164;;;;;;;;;;"Companhia das Letrinhas";;;"85-7406-005-
4";;;;;;
1165;"O jaguncinho: lendas da Coluna Prestes.";"Autor: Portela, Flavia. Martins, Lu. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1165;;;;;;;;;;"Escrita Fina";;;"9788583130
352";|;;;;;
1166;"A sombra fujona";"Autor: Penteado, Maria Heloisa Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1166;;;;;;;;;;Moderna;;;"85-16-00766-
9";;;;;;
1167;"A roliÁa rebelde";"Autor: Pacce, Cl·udia Freitas II, Carlos Gomes de
C‚ntara, SÈrgio J. Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1167;;;;;;;;;;Moderna;;;"85-16-01672-
2";|;;;;;
1168;"A menina que o vento roubou";"Autor: Penteado, Maria Helena Ano:  1996,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1168;;;;;;;;;;FTD;;;"85-322-2502-
0";;;;;;
1169;"Os tigres de Mompracem.";"Autor: Salgari, Emilio. Rocha, Maiza. Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1169;;;;;;;;;;Iluminuras;;;"9788573212
877";;;;;;
1170;"DedÈ e os tubarıes.";"Autor: Roscoe, Alessandra.
Cunha, Leo. AntÛn, Rafael. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1170;;;;;;;;;;Escarlate;;;"9788566357
448";;;;;;
1171;"Os herÛis do tsunami.";"Autor: Vilela, Fernando. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1171;;;;;;;;;;"Brinque- Book";;;"9788574123
608";;;;;;
1172;"O pequeno P";"Autor: Ziraldo Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1172;;;;;;;;;;"Melhorament os";;;"85-06-01586-
3";|;;;;;
1173;"O p·ssaro cativo";"Autor: Bilac, Olavo Gomes, Leonardo Menna
Barreto Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1173;;;;;;;;;;"Mercado Aberto";;;"85-280-0423-
6";;;;;;
1174;"Obrigado, mam„e! o livro do amor pela mulher mais importante do mundo";"Autor: Bandeira, Pedro Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1174;;;;;;;;;;Moderna;;;"85-16-03128-
4";|;;;;;
1175;"Antologia de histÛrias";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1175;;;;;;;;;"2. ed. rev. e atual.";Ediouro;;;"85-00-00558-
0";;;;;;
1176;"HistÛria em ponto de agulha";"Autor: GÛes, L˙cia Pimentel Miadaira Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1176;;;;;;;;;"3. ed.";Moderna;;;"85-16-00804-
5";|;;;;;
1177;"A coruja, o gato e os filhotes.";"Autor: Lear, Edward. Furquim, CecÌlia. Derdyk, Edith. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1177;;;;;;;;;;"Melhorament os";;;"9788506074
688";;;;;;
1178;"Falando tupi.";"Autor: Yam„, YaguarÍ. Valerio, Geraldo. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1178;;;;;;;;;;Pallas,;;;"9788534704
830";|;;;;;
1179;"A rebeli„o dos peixes.";"Autor: Poli Junior, OvÌdio. Yamashiro, Olga. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1179;;;;;;;;;;"Selo Off Flip";;;"9788562705
069";;;;;;
1180;"Meg, a gatinha: o sonho.";"Autor: Jones, Lara. Ano:  2006,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1180;;;;;;;;;;Salamandra;;;"9788516054
625";;;;;;
1181;"Um cachorro pra Maya";"Autor: Murray, Roseana Bordoni, Eduardo Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1181;;;;;;;;;;Salamandra;;;"85-281-0364-
1";;;;;;
1182;"Lua e sol";"Autor: Machado, NÌlson JosÈ Dansa, Salmo Pimentel, Ricardo Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1182;;;;;;;;;;Braga;;;"85-86008-35-
4";;;;;;
1183;"Madrugada na casa do bruxo.";"Autor: Lisboa, Elizete. Raquel, Ana. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1183;;;;;;;;;;L√™;;;"9788532907
707";|;;;;;
1184;"A ideia que se esquecia.";"Autor: Marinho, Jorge Miguel.
Rios, Mateus. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1184;;;;;;;;;;Biruta;;;"9788578480
578";;;;;;
1185;"O galo PererÍ";"Autor: Machado, Luiz Raul Lacaz, Guto Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1185;;;;;;;;;;Ediouro;;;"85-00-00251-
4";|;;;;;
1186;I;"Autor: Ferraz, Eucana„. Sandoval, AndrÈs. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1186;;;;;;;;;;"Companhia das Letrinhas";;;"9788574064
871";;;;;;
1187;"Um zoolÛgico no meu quarto.";"Autor: Feiffer, Jules. Lando, Isa Mara. Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1187;;;;;;;;;;"Companhia das Letras";;;"9788535912
586";;;;;;
1188;"Draculinha, um astro Hollyblood";"Autor: Telles, Carlos Queiroz Pereira, Eneas Carlos Garroux, Saulo Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1188;;;;;;;;;;FTD;;;"85-322-0241-
1";||;;;;;
1189;"O poÁo da bruxa";"Autor: Kupstas, M·rcia Tenente, Paulo Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1189;;;;;;;;;"6. ed.";Moderna;;;"85-16-00632-
8";;;;;;
1190;"A vida acidentada de um vampirinho";"Autor: Telles, Carlos Queiroz Pereira, Eneas Carlos Garroux, Saulo Ano:  1989,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1190;;;;;;;;;;FTD;;;"85-322-0040-
0";||;;;;;
1191;"A verdadeira histÛria da est·tua";"Autor: Vasconcellos, Cecilia Castanha, Marilda Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1191;;;;;;;;;"3. ed.";FTD;;;"85-322-0787-
1";;;;;;
1192;I;"Autor: Marquesi, Dagomir Fevereiro, Jo Ano:  [1987?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1192;;;;;;;;;;Brasiliense;;;;||;;;;;
1193;"Um beijo pra Isadora";"Autor: Marinheiro, Norma Startari, Deisy Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1193;;;;;;;;;;Paulinas;;;"85-7311-737-
0";;;;;;
1194;"Restos de arco-Ìris";"Autor: Capparelli, SÈrgio, Ano:  1985,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1194;;;;;;;;;"4. ed.";L&PM,;;;"85-254-0079-
3";||;;;;;
1195;"Abra„o e as frutas";"Autor: MendonÁa, Luciana V. P.de Ano:  2006,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1195;;;;;;;;;;"Minist√©rio da Educa√ß√£o,";;;"978-85-296-
0051-7";;;;;;
1196;"E o rei quase virou bobo da corte";"Autor: Martins, Mauro Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1196;;;;;;;;;"10. ed.";Moderna;;;"85-16-00145-
8";||;;;;;
1197;"Marieta quer falar";"Autor: Paes, Ducarmo Rossi, Cristina Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1197;;;;;;;;;;"Noovha Am√©rica";;;"85-86114-58-
8";;;;;;
1198;Tatu;"Autor: Pacce, Claudia F. Lacerda, Leninha Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1198;;;;;;;;;;Augustus;;;"85-85497-26-
2";;;;;;
1199;"Heureca! jogos de invenÁıes";"Autor: Rowland-Entwistle, Theodore
Silva, Irami B. Alles, Hemesh Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1199;;;;;;;;;;Scipione;;;"85-262-3193-
6";;;;;;
1200;"Lili, a borboleta";"Autor: Nahum, Erdna Perugine Guedes, Avelino Pereira Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1200;;;;;;;;;;Scipione;;;"85-262-0888-
8";|||;;;;;
1201;"Pascoalzinho pÈ-no-ch„o: uma f·bula da reforma agr·ria";"Autor: Alencar, Chico FabÌ Ano:  1987,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1201;;;;;;;;;"16. ed.";Moderna;;;;|;;;;;
1202;"CadÍ, o gato que era da cor do tapete";"Autor: Schields, Gretchen Aquino, Gilda Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1202;;;;;;;;;;"Brinque- Book";;;"85-85357-86- X";|||;;;;;
1203;"O sanduÌche de Maricota";"Autor: Guedes, Avelino Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1203;;;;;;;;;;Moderna;;;"85-16-00588-
7";|;;;;;
1204;I;"Autor: Oliveira, AurÈlio de Cavalcante, Simone Bellusci Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1204;;;;;;;;;;"Quinteto Editorial";;;"85-305-0110-
1";|||;;;;;
1205;"O cachorro e a pulga";"Autor: Iacocca, Michele Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1205;;;;;;;;;"3. ed.";√Åtica;;;"85-08-01545-
3";|;;;;;
1206;"VovÛ Benuta.";"Autor: Rosa, Sonia.
Simonin, Anna B·rbara.
Bruno, MarÌlia. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1206;;;;;;;;;;"Galera Record";;;"9788501097
941";|||;;;;;
1207;"O livro das princesas.";"Autor: Cabot, Meg. Vinagre, Ryta.
Castro, Matheus Lopes. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1207;;;;;;;;;"5. ed.";Record;;;"9788501403
254";|;;;;;
1208;"Sem rumo na selva.";"Autor: Zepeda, Monique. Bagno, Marcos. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1208;;;;;;;;;;"Edi√ß√µes SM";;;"9788576758
662";|||;;;;;
1209;"O coelho que n„o sabia gatÍs.";"Autor: Irley, Thiago. Orlandeli. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1209;;;;;;;;;;"Edi√ß√µes SM";;;"9788541800
600";|;;;;;
1210;"Dondinho d· um jeito";"Autor: Caparelli, SÈrgio Pumo, Lui Cuervo Lo Ano:  1982,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1210;;;;;;;;;"3. ed.";L&PM;;;;|||;;;;;
1211;"Segredinhos de amor";"Autor: JosÈ, Elias Shuravel, May, Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1211;;;;;;;;;"3. ed.";Moderna;;;"85-16-00514-
3";|;;;;;
1212;"Caras encaradas";"Autor: Abramovich, Fanny Martins, Cl·udio Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1212;;;;;;;;;"2. ed.";Saraiva;;;"85-02-02782-
4";|||;;;;;
1213;"A menina que podia voar.";"Autor: LinnÈ, VinÌcius. Spinelli, Mirella. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1213;;;;;;;;;;Habilis;;;"9788560967
452";|;;;;;
1214;"VocÍ aÌ";"Autor: Cotta, Luiza Clotilde Sarmento Emmermacher, Lisabet Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1214;;;;;;;;;;Minguilim;;;;|||;;;;;
1215;"Caderno de segredos";"Autor: Albergaria, Lino de Le„o, Jayme Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1215;;;;;;;;;"5. ed.";Saraiva;;;"85-02-01828-
0";|;;;;;
1216;"As laranjas iguais: contos";"Autor: FranÁa J˙nior, Oswaldo Ano:  1985,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1216;;;;;;;;;"4. ed.";"Nova Fronteira";;;;|||;;;;;
1217;"Um poema puxa o outro";"Autor: Paes, JosÈ Paulo Oliveira, Marcelo R. L. Azevedo, Ricardo
Lima, Ricardo da Cunha Eduar, Gilles Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1217;;;;;;;;;;"Companhia das Letrinhas";;;"85-7406-135-
2";|;;;;;
1218;"As memÛrias da bruxa Onilda";"Autor: As memÛrias da bruxa Onilda
Capdevila, R. Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1218;;;;;;;;;"10. ed.";Scipione;;;"85-262-1637-
6";|||;;;;;
1219;"Casinhas de bichos";"Autor: Alcoforado Filho, Hardy Guedes
Rodrigues, Luiz Padovani, Renilton Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1219;;;;;;;;;;Scipione;;;"85-262-3145-
6";|;;;;;
1220;"O jabuti";"Autor: FranÁa, Mary FranÁa, Eliardo Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1220;;;;;;;;;;√Åtica;;;85-08-0152-9;|||;;;;;
1221;"Enigma da conex„o";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1221;;;;;;;;;;Minguilim;;;"85-7442-097-
2";|;;;;;
1222;"Manuel Bandeira: crÙnicas para jovens.";"Autor: Bandeira, Manuel. Cunha, Antonieta. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1222;;;;;;;;;;Global;;;"9788526017
085";|||;;;;;
1223;"Marina Colasanti: crÙnicas para jovens.";"Autor: Colasanti, Marina. Cunha, Antonieta. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1223;;;;;;;;;;Global;;;"9788526017
559";|;;;;;
1224;Travatrovas;"Autor: CiÁa Ziraldo Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1224;;;;;;;;;;"Nova Fronteira";;;"85-209-0470- X";|||;;;;;
1225;"Tigres no quintal";"Autor: Caparelli, SÈrgio Radaelli, Gelson Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1225;;;;;;;;;"6. ed.";Kuarup;;;"85-269-0140-
0";|;;;;;
1226;"Deus È meu amigo: um guia infantil em direÁ„o a Deus";"Autor: Engelhardt, Lisa O. Alley, R. W.
Alencar, Jakson Ferreira de Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1226;;;;;;;;;;Paulus;;;"85-349-2156-
3";|||;;;;;
1227;"Que confus„o, seu Ad„o!";"Autor: JosÈ, Elias Scatamacchia, Claudia Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1227;;;;;;;;;;Paulus;;;"85-349-2081-
8";|;;;;;
1228;"O jardim de todos";"Autor: Brand„o, Carlos Rodrigues Zahara, Isis Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1228;;;;;;;;;;"Autores Associados";;;"85-7496-096-
9";|||;;;;;
1229;"Gira, mundo";"Autor: Brand„o, Guiomar Paiva Ano:  [1984?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1229;;;;;;;;;;RHJ;;;;|;;;;;
1230;"A palavra perdida";"Autor: Albergaria, Lino de Iwashita, CecÌlia Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1230;;;;;;;;;;Atual;;;"85-7056-354-
7";|||;;;;;
1231;Amizade;"Autor: Heine, Evelyn Uechi, Beto Ano:  [2007?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1231;;;;;;;;;;BrasiLeitura;;;"85-7398-092-
3";|;;;;;
1232;"O mistÈrio do livro sem mistÈrio";"Autor: Agostinho, Cristina Ferraz, Fl·vio Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1232;;;;;;;;;;FTD;;;;|||;;;;;
1233;"TrÍs desejos t„o desejados";"Autor: Abramovich, Fanny Luiz, Evandro Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1233;;;;;;;;;;Saraiva;;;"85-02-03783-
8";|;;;;;
1234;I;"Autor: Alencar, Chico FabÌ Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1234;;;;;;;;;;Moderna;;;"85-16-00425-
2";|||;;;;;
1235;"P·ssaro em vÙo";"Autor: Brand„o, Ruth Silviano Emmermacher, Lisabet Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1235;;;;;;;;;;Minguilim;;;"85-85672-26-
9";|;;;;;
1236;"A jibÛia Gabriela";"Autor: Caparelli, SÈrgio M¸nch, Astrid Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1236;;;;;;;;;"15. ed.";L&PM;;;"85-254-0112-
9";|||;;;;;
1237;"Rosalina: a pesquisadora de homens";"Autor: Hetzel, Bia Lima, GraÁa Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1237;;;;;;;;;;"Brinque- Book";;;85-85357-97;|;;;;;
1238;"Com lagartixa n„o tem conversa";"Autor: Miranda, Orlando de Lacerda, Leninha Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1238;;;;;;;;;"6. ed.";Moderna;;;"85-16-00802-
9";|||;;;;;
1239;"Elias e a vovÛ que veio do ovo.";"Autor: Proch·zkov·, Iva. Goedelt, Marion. Sabino, JosÈ Feres. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1239;;;;;;;;;;Escarlate;;;"9788566357
660";|;;;;;
1240;"O amigo que veio do sul";"Autor: MurguÌa, Juli·n Faraco, SÈrgio Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1240;;;;;;;;;"3. ed.";FTD;;;"85-322-1046-
5";|||;;;;;
1241;"O dourado";"Autor: FranÁa, Mary FranÁa, Eliardo Ano:  1987,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1241;;;;;;;;;"3. ed.";√Åtica;;;"85-08-01738-
3";|;;;;;
1242;"O velho do mar.";"Autor: Machado, Ana Maria.
Machado, Igor. Baeta, Luisa. Ano:  2009,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1242;;;;;;;;;;Moderna;;;"9788516063
948";|||;;;;;
1243;"Problemas boborildos.";"Autor: Furnari, Eva. Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1243;;;;;;;;;;Moderna;;;"9788516071
394";|;;;;;
1244;"O planeta colorido.";"Autor: Caulos. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1244;;;;;;;;;;"Rocco Pequenos Leitores";;;"9788562500
220";|||;;;;;
1245;"Quem quer brincar comigo?";"Autor: Freitas, Tino. Zigg, Ivan. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1245;;;;;;;;;;Abacatte;;;"9788562549
335";|;;;;;
1246;"As sobrinhas da bruxa Onilda e Cinderela";"Autor: Company, MercË Capdevila, Roser GonÁalves, Rita E. Garcia Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1246;;;;;;;;;;Scipione;;;"85-262-3180-
4";|||;;;;;
1247;"Biscoitinho chinÍs.";"Autor: Sk·rmeta, Antonio. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1247;;;;;;;;;;"Galerinha Record";;;"9788501093
233";|;;;;;
1248;"As sobrinhas da bruxa Onilda e Ali-Bab· e os quarenta ladrıes";"Autor: Company, MercË Capdevila, Roser GonÁalves, Rita E. Garcia Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1248;;;;;;;;;;Scipione;;;"85-262-3178-
2";|||;;;;;
1249;"O menino inesperado";"Autor: Lucinda, Elisa, Lima, GraÁa, Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1249;;;;;;;;;;Record;;;"85-01-06498- X";|;;;;;
1250;"Os olhos do c„o siberiano.";"Autor: Santa Ana, Antonio. Ano:  2012.";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1250;"PrÍmio - FNLIJ 2013||PrÍmio FNLIJ";Juvenil::Romance/FicÁ„o;;Livro;2012;;"Rubem Filho";" Cunha, Antonieta";;Dimens√£o;;"Belo Horizonte";"9788573198
171";96;;;"Categoria : Tradu√ß√£o/Adapta√ß√£o jovem  - 2013                   ";;
1252;"Tem sempre um diferente.";"Autor: Lollo, JosÈ Carlos. Franco, Blandina. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1252;;;;;;;;;;Salamandra;;;"9788516075
026";|;;;;;
1253;"Uma princesa nada boba.";"Autor: Antonio, Luiz. Carpenter, Biel. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1253;;;;;;;;;;"Cosac Naify";;;"9788540501
041";|||;;;;;
1254;"Quando eu era menino";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1254;;;;;;;;;;Paulinas;;;"85-356-0278- X";|||;;;;;
1255;"N„o me chame de gorducha";"Autor: Philips, Barbara Cogancherry, Barbara Almeida, Fernanda Lopes Ano:  1990,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1255;;;;;;;;;"2. ed.";√Åtica;;;"85-08-03008-
8";|;;;;;
1256;"A histÛria das coisas";"Autor: Marques, Francisco Le„o, Adriana Chico dos Bonecos Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1256;;;;;;;;;;Formato;;;"85-7208-210-
7";|||;;;;;
1257;"O menino que n„o se chamava Jo„o e a menina que n„o se chamava Maria
: um conto de fadas brasileiro";"Autor: Martins, Georgina da Costa Tavares, Victor Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1257;;;;;;;;;"2. ed.";DCL;;;"85-7338-325-
6";|;;;;;
1258;"A cortina da tia B·";"Autor: Woolf, Virginia Vivas, Julie Rocha, Ruth Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1258;;;;;;;;;;√Åtica;;;"85-08-04381-
3";|||;;;;;
1259;"O gato de dona Chica";"Autor: Borges, Geruza Helena Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1259;;;;;;;;;;"Mazza Edi√ß√µes";;;"85-7160-023-
6";|;;;;;
1260;"A histÛria dos trÍs porquinhos";"Autor: Alves, Rubem Ianni, AndrÈ Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1260;;;;;;;;;;Paulus;;;"85-349-1499-
0";|||;;;;;
1261;"O presente";"Autor: Almeida, ZÈlia Martins, Cl·udio Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1261;;;;;;;;;;Dimens√£o;;;"85-7319-077-
9";|;;;;;
1262;Labirinto;"Autor: Albergaria, Lino de Vinicius, Marcus Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1262;;;;;;;;;;RHJ;;;"85-7153-042-
4";|||;;;;;
1263;"Uma lagarta muito comilona.";"Autor: Carle, Eric. Gabbai, Miriam. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1263;;;;;;;;;;Callis;;;"9788574168
609";|;;;;;
1264;"Para que serve um livro?";"Autor: Legeay, ChloÈ. Leite, M·rcia. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1264;;;;;;;;;;"Editora Pulo de Gato";;;"9788564974
036";|||;;;;;
1265;"O alvo.";"Autor: Brenman, Ilan. Mariconi, Renato. Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1265;;;;;;;;;;√Åtica;;;"9788508142
637";|;;;;;
1266;"Brisa na janela: uma histÛria soprada por Elma.";"Autor: Elma. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1266;;;;;;;;;;Cortez;;;"9788524920
684";|||;;;;;
1267;"Estrela do cÈu estrela do mar";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1267;;;;;;;;;;Abacatte;;;"978-85-
62549-78-6";|;;;;;
1268;"Roy encontra Cinderela";"Autor: Veneza, MaurÌcio, Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1268;;;;;;;;;;Abacatte;;;"978-85-
62549-88-5";|||;;;;;
1269;"A luz que mora dentro da gente.";"Autor: Rosas, Fl·via. Stein, Monica Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1269;;;;;;;;;;Omnisci√™ncia;;;"9788561190
057";|;;;;;
1270;"O cata-vento e o ventilador";"Autor: Camargo, LuÌs Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1270;;;;;;;;;;FTD;;;"85-322-0208- X";|||;;;;;
1271;"O estribo de prata.";"Autor: Ramos, Graciliano. Matias, Simone. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1271;;;;;;;;;;"Galerinha Record";;;"9788580109
8153";|;;;;;
1272;"Eu te disse.";"Autor: Gomi,Taro.
Almeida, StÈphanie Havir de. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=1272;;;;;;;;;;"Berlendis & Vertecchia";;;"9788577230
525";|||;;;;;
